classification-vehicles.jpg,26,0,0,3
classification-vehicle3.jpg,19,0,0,0
classification-vehicle3.jpg,19,0,0,0
classification-vehicle3.jpg,19,0,0,0
classification-vehicle6.jpg,32,4,0,6
images/classification-vehicle6.jpg,32,4,0,6
classification-vehicle6.jpg,32,4,0,6
images/classification-vehicle6.jpg,64,8,0,12
images/classification-vehicle6.jpg,96,12,0,18
images/classification-vehicle6.jpg,128,16,0,24
images/classification-vehicle6.jpg,160,20,0,30
images/classification-vehicle6.jpg,192,24,0,36
images/classification-vehicle6.jpg,224,28,0,42
images/classification-vehicle6.jpg,256,32,0,48
images/classification-vehicle6.jpg,288,36,0,54
images/classification-vehicle6.jpg,320,40,0,60
images/classification-vehicle6.jpg,352,44,0,66
images/classification-vehicle6.jpg,384,48,0,72
images/classification-vehicle6.jpg,416,52,0,78
images/classification-vehicle6.jpg,448,56,0,84
images/classification-vehicle6.jpg,480,60,0,90
images\classification-vehicle3.jpg,499,60,0,90
images\classification-vehicle5.jpg,517,66,2,94
images\classification-vehicle6.jpg,549,70,2,100
images\classification-vehicles.jpg,575,70,2,103
images\classification-vehicles2.jpg,609,70,2,104
images\classification-vehicles4.jpg,618,72,3,106
images\classification-vehicle3.jpg,19,0,0,0
images\classification-vehicle5.jpg,37,6,2,4
images\classification-vehicle6.jpg,69,10,2,10
images\classification-vehicles.jpg,95,10,2,13
images\classification-vehicles2.jpg,129,10,2,14
images\classification-vehicles4.jpg,138,12,3,16
